METID	REPLACEMENTID
3,3-diiodo-L-thyronine[c]	m00720c
3,3-diiodo-L-thyronine[r]	m00720r
3,3-diiodo-L-thyronine-4-O-sulfate[c]	m00721c
3,3-diiodo-L-thyronine-beta-D-glucuronoside[c]	m00722c
3,3-diiodo-L-thyronine-beta-D-glucuronoside[r]	m00722r
3,4-dihydro-1,4-benzothiazine-3-carboxylate[c]	m00723c
3,4-dihydro-3-hydroxy-4-S-glutathionyl bromobenzene[c]	m00724c
3,4-dihydroxy-5-all-trans-decaprenylbenzoate[m]	m00725m
3,4-dihydroxymandelaldehyde[c]	m00726c
3,4-dihydroxymandelate[c]	m00727c
3,4-dihydroxyphenylacetaldehyde[c]	m00728c
3,4-dihydroxyphenylacetate[c]	m00729c
3,4-dihydroxyphenylethyleneglycol[c]	m00730c
3,4-dihydroxyphenylethyleneglycol[s]	m00730s
3,4-epoxynonanal[c]	m00731c
3,5,3,5-tetraiodo-L-thyronine-beta-D-glucuronoside[c]	m00732c
3,5,3,5-tetraiodo-L-thyronine-beta-D-glucuronoside[r]	m00732r
3,5,3-triiodo-L-thyronine-beta-D-glucuronoside[c]	m00733c
3,5,3-triiodo-L-thyronine-beta-D-glucuronoside[r]	m00733r
3,5,3-triiodothyronine-4-sulfate[c]	m00734c
3,5,3-triiodothyronine-4-sulfate[s]	m00734s
3,5-dihydroxy-3,4-dihydro-1,4-benzothiazine[c]	m00735c
3,5-diiodo-L-thyronine[c]	m00736c
3,5-diiodo-L-thyronine[r]	m00736r
3,5-diiodo-L-thyronine-4-O-sulfate[c]	m00737c
3,5-diiodo-L-thyronine-beta-D-glucuronoside[c]	m00738c
3,5-diiodo-L-thyronine-beta-D-glucuronoside[r]	m00738r
3,5-diiodo-L-tyrosine[c]	m00739c
3,5-dioxo-12(R)-hydroxy-eicosa-(8E,10E,14Z)-trienoyl-CoA[m]	m00740m
3,5-dioxo-12(R)-hydroxy-eicosa-(8E,10E,14Z)-trienoyl-CoA[p]	m00740p
3,5-dioxo-12(S)-hydroxy-eicosa-(8E,10E,14Z)-trienoyl-CoA[m]	m00741m
3,5-dioxo-12(S)-hydroxy-eicosa-(8E,10E,14Z)-trienoyl-CoA[p]	m00741p
3,7,24THCA[c]	m00742c
3,7,24THCA[m]	m00742m
3,7,24THCA-CoA[c]	m00743c
3,7,24THCA-CoA[p]	m00743p
3,8-LD1[c]	m00744c
3,8-LD1[g]	m00744g
3,8-LD1[s]	m00744s
3alpha,12alpha-dihydroxy-5beta-cholanate[c]	m00745c
3alpha,12alpha-dihydroxy-5beta-cholanate[r]	m00745r
3alpha,7alpha,12alpha,24(S)-tetrahydroxy-5beta-cholestan-27-al[m]	m00746m
3alpha,7alpha,12alpha,25-tetrahydroxy-5beta-cholestane-24-one[r]	m00747r
3alpha,7alpha,12alpha-trihydroxy-5beta-24-oxocholestanoyl-CoA[m]	m00748m
3alpha,7alpha,12alpha-trihydroxy-5beta-24-oxocholestanoyl-CoA[p]	m00748p
3alpha,7alpha,12alpha-trihydroxy-5beta-cholest-24-enoyl-CoA[m]	m00749m
3alpha,7alpha,12alpha-trihydroxy-5beta-cholest-24-enoyl-CoA[p]	m00749p
3alpha,7alpha,12alpha-trihydroxy-5beta-cholestan-26-al[c]	m00750c
3alpha,7alpha,12alpha-trihydroxy-5beta-cholestan-26-al[m]	m00750m
3alpha,7alpha,12alpha-trihydroxy-5beta-cholestan-27-al[m]	m00751m
3alpha,7alpha,12alpha-trihydroxy-5beta-cholestanate[c]	m00752c
3alpha,7alpha,12alpha-trihydroxy-5beta-cholestanate[m]	m00752m
3alpha,7alpha,12alpha-trihydroxy-5beta-cholestanate[p]	m00752p
3alpha,7alpha,12alpha-trihydroxy-5beta-cholestanate[r]	m00752r
3alpha,7alpha,24(S)-trihydroxy-5beta-cholestan-27-al[m]	m00753m
3alpha,7alpha-dihydroxy-24-oxo-5beta-cholestanoyl coa[p]	m00754p
3alpha,7alpha-dihydroxy-5beta-cholest-24-enoyl-CoA[p]	m00755p
3alpha,7alpha-dihydroxy-5beta-cholestan-26-al[c]	m00756c
3alpha,7alpha-dihydroxy-5beta-cholestan-26-al[m]	m00756m
3alpha,7alpha-dihydroxy-5beta-cholestan-27-al[m]	m00757m
3alpha,7alpha-dihydroxy-5beta-cholestanate[c]	m00758c
3alpha,7alpha-dihydroxy-5beta-cholestanate[m]	m00758m
3alpha,7alpha-dihydroxy-5beta-cholestanate[p]	m00758p
3alpha,7alpha-dihydroxy-5beta-cholestanate[r]	m00758r
3alpha-hydroxy-5alpha-pregnan-20-one[c]	m00759c
3-amino-propanal[c]	m00760c
3beta,7alpha-dihydroxy-5-cholestenoate[m]	m00761m
3-beta-D-glucuronosyl-3-beta-D-galactosyl-4-beta-D-galactosyl-O-beta-D-xylosylprotein[g]	m00762g
3beta-hydroxy-5-cholestenal[m]	m00763m
3beta-hydroxy-5-cholestene-27-oate[m]	m00764m
3-carboxy-1-hydroxypropyl-ThPP[m]	m00765m
3-carboxy-alpha-chromanol[c]	m00766c
3-carboxy-alpha-chromanol[m]	m00766m
3-decaprenyl-4-hydroxybenzoate[m]	m00767m
3-dehydro-L-gulonate[c]	m00768c
3-dehydrosphinganine[c]	m00769c
3-demethylubiquinol-10[m]	m00770m
3-deoxy-D-glycero-D-galacto-2-nonulosonic acid[c]	m00771c
3-deoxy-D-glycero-D-galacto-2-nonulosonic acid[s]	m00771s
3-deoxy-D-glycero-D-galacto-2-nonulosonic acid-9-phosphate[c]	m00772c
3-hydroxy-2,6-dimethyl-5-methylene-heptanoyl-CoA[m]	m00773m
3-hydroxy-2,6-dimethyl-5-methylene-heptanoyl-CoA[p]	m00773p
3-hydroxyacyl group of bacterial toxin[c]	m00774c
3-hydroxyanthranilate[c]	m00775c
3-hydroxydocosanoyl-CoA[c]	m00776c
3-hydroxydocosanoyl-CoA[m]	m00776m
3-hydroxydocosanoyl-CoA[p]	m00776p
3-hydroxyeicosanoyl-CoA[c]	m00777c
3-hydroxyeicosanoyl-CoA[m]	m00777m
3-hydroxyeicosanoyl-CoA[p]	m00777p
3-hydroxyheneicosanoyl-CoA[c]	m00778c
3-hydroxyheneicosanoyl-CoA[m]	m00778m
3-hydroxyheptadecanoyl-[ACP][c]	m00779c
3-hydroxyheptadecanoyl-CoA[m]	m00780m
3-hydroxyheptanoyl-[ACP][c]	m00781c
3-hydroxyheptanoyl-CoA[m]	m00782m
3-hydroxyhexacosanoyl-CoA[c]	m00783c
3-hydroxyhexacosanoyl-CoA[p]	m00783p
3-hydroxyisobutyrate[m]	m00784m
3-hydroxyisobutyryl-CoA[m]	m00785m
3-hydroxykynurenamine[c]	m00786c
3-hydroxykynurenine-O-beta-D-glucoside[c]	m00787c
3-hydroxy-L-kynurenine[c]	m00788c
3-hydroxy-N6,N6,N6-trimethyl-L-lysine[c]	m00789c
3-hydroxynonadecanoyl-CoA[c]	m00790c
3-hydroxynonadecanoyl-CoA[m]	m00790m
3-hydroxynonanoyl-[ACP][c]	m00791c
3-hydroxynonanoyl-CoA[m]	m00792m
3-hydroxyoctadecanoyl-CoA[c]	m00793c
3-hydroxyoctadecanoyl-CoA[m]	m00793m
3-hydroxyoctadecanoyl-CoA[p]	m00793p
3-hydroxypentadecanoyl-[ACP][c]	m00794c
3-hydroxypentadecanoyl-CoA[m]	m00795m
3-hydroxypentanoyl-[ACP][c]	m00796c
3-hydroxypentanoyl-CoA[m]	m00797m
3-hydroxypristanoyl-CoA[p]	m00798p
3-hydroxypropionyl-CoA[m]	m00799m
3-hydroxytetracosanoyl-CoA[c]	m00800c
3-hydroxytetracosanoyl-CoA[p]	m00800p
3-hydroxy-THA-CoA[p]	m00801p
3-hydroxytricosanoyl-CoA[c]	m00802c
3-hydroxytridecanoyl-[ACP][c]	m00803c
3-hydroxytridecanoyl-CoA[m]	m00804m
3-hydroxyundecanoyl-[ACP][c]	m00805c
3-hydroxyundecanoyl-CoA[m]	m00806m
3-iodo-L-tyrosine[c]	m00807c
3-isoLM1[c]	m00808c
3-keto-4-methylzymosterol[c]	m00809c
3-keto-beta-D-galactose[s]	m00810s
3-keto-eicosa-8,11,14,17-all-cis-tetraenoyl-CoA[c]	m00811c
3-ketolactose[s]	m00812s
3-ketopristanoyl-CoA[p]	m00813p
3-keto-THA-CoA[p]	m00814p
3-mercaptolactate[c]	m00815c
3-mercaptolactate-cysteine-disulfide[c]	m00816c
3-mercaptolactate-cysteine-disulfide[s]	m00816s
3-methoxy-4-hydroxy-5-all-trans-decaprenylbenzoate[m]	m00817m
3-methoxy-4-hydroxyphenylacetaldehyde[c]	m00818c
3-methoxy-4-hydroxyphenylethyleneglycol[c]	m00819c
3-methoxy-4-hydroxyphenylglycolaldehyde[c]	m00820c
3-methoxytyramine[c]	m00821c
3-methyl-2-oxobutanoate-dehydrogenase[c]	m00822c
3-methyl-2-oxobutanoate-dehydrogenase-phosphate[c]	m00823c
3-methyl-2-oxobutyrate[c]	m00824c
3-methyl-2-oxobutyrate[m]	m00824m
3-methylcrotonoylglycine[m]	m00825m
3-methylcrotonyl-CoA[m]	m00826m
3-methylglutaconyl-CoA[m]	m00827m
3-monoiodo-L-thyronine[c]	m00828c
3-monoiodo-L-thyronine[r]	m00828r
3-monoiodo-L-thyronine-4-O-sulfate[c]	m00829c
3-O-methyldopa[c]	m00830c
3-oxo-(2S)-methylisocapryloyl-CoA[m]	m00831m
3-oxo-(2S,6R,10R)-trimethyl-hendecanoyl-CoA[p]	m00832p
3-oxo-(4R,8R,12R)-trimethyl-tridecanoyl-CoA[p]	m00833p
3-oxo-(6Z,9Z,12Z)-octadecatrienoyl-CoA[m]	m00834m
3-oxo-(6Z,9Z,12Z)-octadecatrienoyl-CoA[p]	m00834p
3-oxo-10(R)-hydroxy-octadeca-(6E,8E,12Z)-trienoate[c]	m00835c
3-oxo-10(R)-hydroxy-octadeca-(6E,8E,12Z)-trienoate[m]	m00835m
3-oxo-10(R)-hydroxy-octadeca-(6E,8E,12Z)-trienoate[p]	m00835p
3-oxo-10(R)-hydroxy-octadeca-(6E,8E,12Z)-trienoyl-CoA[m]	m00836m
3-oxo-10(R)-hydroxy-octadeca-(6E,8E,12Z)-trienoyl-CoA[p]	m00836p
3-oxo-10(S)-hydroxy-octadeca-(6E,8E,12Z)-trienoate[c]	m00837c
3-oxo-10(S)-hydroxy-octadeca-(6E,8E,12Z)-trienoate[m]	m00837m
3-oxo-10(S)-hydroxy-octadeca-(6E,8E,12Z)-trienoate[p]	m00837p
3-oxo-10(S)-hydroxy-octadeca-(6E,8E,12Z)-trienoyl-CoA[m]	m00838m
3-oxo-10(S)-hydroxy-octadeca-(6E,8E,12Z)-trienoyl-CoA[p]	m00838p
3-oxo-11cis-docosenoyl-CoA[c]	m00839c
3-oxo-11-cis-eicosenoyl-CoA[c]	m00840c
3-oxo-11-cis-eicosenoyl-CoA[m]	m00840m
3-oxo-11-cis-eicosenoyl-CoA[p]	m00840p
3-oxo-11-cis-octadecenoyl-CoA[m]	m00841m
3-oxo-11-cis-octadecenoyl-CoA[p]	m00841p
3-oxo-13cis-docosenoyl-CoA[c]	m00842c
3-oxo-13cis-docosenoyl-CoA[m]	m00842m
3-oxo-13cis-docosenoyl-CoA[p]	m00842p
3-oxo-13-cis-eicosenoyl-CoA[c]	m00843c
3-oxo-13-cis-eicosenoyl-CoA[m]	m00843m
3-oxo-13-cis-eicosenoyl-CoA[p]	m00843p
3-oxo-4(R),8-dimethyl-nonanoyl-CoA[m]	m00844m
3-oxo-4-methyl-pentanoyl-CoA[m]	m00845m
3-oxo-5(S),12(R)-dihydroxy-eicosa-8-trans-6,14-cis-trienoyl-CoA[m]	m00846m
3-oxo-5(S),12(R)-dihydroxy-eicosa-8-trans-6,14-cis-trienoyl-CoA[p]	m00846p
3-oxo-6(R)-hydroxy-tetradec-8-cis-enoate[m]	m00847m
3-oxo-6(S)-hydroxy-tetradec-(8Z)-enoate[m]	m00848m
3-oxo-7-hexadecenoyl-CoA[m]	m00849m
3-oxo-7-hexadecenoyl-CoA[p]	m00849p
3-oxo-8(R)-hydroxy-hexadeca-(6E,10Z)-dienoate[m]	m00850m
3-oxo-8(S)-hydroxy-hexadeca-(6E,10Z)-dienoate[m]	m00851m
3-oxo-9-cis-eicosenoyl-CoA[c]	m00852c
3-oxo-all-cis-6,9,12,15,18-tetracosapentaenoyl-CoA[p]	m00853p
3-oxo-cis,cis-5,8-tetradecadienoyl-CoA[m]	m00854m
3-oxo-cis,cis-5,8-tetradecadienoyl-CoA[p]	m00854p
3-oxo-cis,cis-7,10-hexadecadienoyl-CoA[m]	m00855m
3-oxo-cis,cis-7,10-hexadecadienoyl-CoA[p]	m00855p
3-oxo-cis-15-tetracosaenoyl-CoA[c]	m00856c
3-oxo-cis-15-tetracosaenoyl-CoA[p]	m00856p
3-oxodecanoyl-[ACP][c]	m00857c
3-oxodecanoyl-CoA[m]	m00858m
3-oxodecanoyl-CoA[p]	m00858p
3-oxo-dihomo-gamma-linolenoyl-CoA[c]	m00859c
3-oxo-dihomo-gamma-linolenoyl-CoA[m]	m00859m
3-oxo-dihomo-gamma-linolenoyl-CoA[p]	m00859p
3-oxodocasa-cis,cis-13,16-dienoyl-CoA[c]	m00860c
3-oxo-docosa-10,13,16,19-all-cis-tetraenoyl-CoA[c]	m00861c
3-oxo-docosa-13,16,19-all-cis-trienoyl-CoA[c]	m00862c
3-oxo-docosa-7,10,13,16,19-all-cis-pentaenoyl-CoA[c]	m00863c
3-oxo-docosa-7,10,13,16-all-cis-tetraenoyl-CoA[c]	m00864c
3-oxo-docosa-cis,cis,cis-10,13,16-trienoyl-CoA[c]	m00865c
3-oxodocosanoyl-CoA[c]	m00866c
3-oxodocosanoyl-CoA[m]	m00866m
3-oxodocosanoyl-CoA[p]	m00866p
3-oxododecanoyl-[ACP][c]	m00867c
3-oxododecanoyl-CoA[m]	m00868m
3-oxododecanoyl-CoA[p]	m00868p
3-oxoeicosa-cis,cis,cis-11,14,17-trienoyl-CoA[c]	m00869c
3-oxoeicosa-cis,cis-11,14-dienoyl-CoA[c]	m00870c
3-oxo-eicosadienoyl-CoA[c]	m00871c
3-oxoeicosanoyl-CoA[c]	m00872c
3-oxoeicosanoyl-CoA[m]	m00872m
3-oxoeicosanoyl-CoA[p]	m00872p
3-oxoheneicosanoyl-CoA[c]	m00873c
3-oxoheneicosanoyl-CoA[m]	m00873m
3-oxoheptadecanoyl-[ACP][c]	m00874c
3-oxoheptadecanoyl-CoA[m]	m00875m
3-oxoheptanoyl-[ACP][c]	m00876c
3-oxoheptanoyl-CoA[m]	m00877m
3-oxohexacosanoyl-CoA[c]	m00878c
3-oxohexacosanoyl-CoA[p]	m00878p
3-oxo-hexacosenoyl-CoA[c]	m00879c
3-oxo-hexacosenoyl-CoA[p]	m00879p
3-oxohexadecanoyl-[ACP][c]	m00880c
3-oxohexanoyl-[ACP][c]	m00881c
3-oxohexanoyl-CoA[m]	m00882m
3-oxohexanoyl-CoA[p]	m00882p
3-oxolaur-6-cis-enoyl-CoA[m]	m00883m
3-oxolaur-6-cis-enoyl-CoA[p]	m00883p
3-oxolinoleoyl-CoA[m]	m00884m
3-oxolinoleoyl-CoA[p]	m00884p
3-oxomyrist-5-enoyl-CoA[m]	m00885m
3-oxomyrist-5-enoyl-CoA[p]	m00885p
3-oxomyrist-7-enoyl-CoA[m]	m00886m
3-oxomyrist-7-enoyl-CoA[p]	m00886p
3-oxononadecanoyl-CoA[c]	m00887c
3-oxononadecanoyl-CoA[m]	m00887m
3-oxononanoyl-[ACP][c]	m00888c
3-oxononanoyl-CoA[m]	m00889m
3-oxooctadecanoyl-CoA[c]	m00890c
3-oxooctadecanoyl-CoA[m]	m00890m
3-oxooctadecanoyl-CoA[p]	m00890p
3-oxooctanoyl-[ACP][c]	m00891c
3-oxooctanoyl-CoA[m]	m00892m
3-oxooctanoyl-CoA[p]	m00892p
3-oxooleoyl-CoA[m]	m00893m
3-oxooleoyl-CoA[p]	m00893p
3-oxopalmitoleoyl-CoA[m]	m00894m
3-oxopalmitoleoyl-CoA[p]	m00894p
3-oxopalmitoyl-CoA[m]	m00895m
3-oxopalmitoyl-CoA[p]	m00895p
3-oxopentadecanoyl-[ACP][c]	m00896c
3-oxopentadecanoyl-CoA[m]	m00897m
3-oxopentanoyl-[ACP][c]	m00898c
3-oxopentanoyl-CoA[m]	m00899m
3-oxopropanoate[m]	m00900m
3-oxo-tetracosa-12,15,18,21-all-cis-tetraenoyl-CoA[c]	m00901c
3-oxo-tetracosa-9,12,15,18,21-all-cis-pentaenoyl-CoA[c]	m00902c
3-oxo-tetracosa-9,12,15,18-all-cis-tetraenoyl-CoA[c]	m00903c
3-oxotetracosanoyl-CoA[c]	m00904c
3-oxotetracosanoyl-CoA[p]	m00904p
3-oxotetradecanoyl-[ACP][c]	m00905c
3-oxotetradecanoyl-CoA[m]	m00906m
3-oxotetradecanoyl-CoA[p]	m00906p
3-oxotricosanoyl-CoA[c]	m00907c
3-oxotridecanoyl-[ACP][c]	m00908c
3-oxotridecanoyl-CoA[m]	m00909m
3-oxoundecanoyl-[ACP][c]	m00910c
3-oxoundecanoyl-CoA[m]	m00911m
3-phosphoadenylylselenate[c]	m00912c
3-phospho-D-glycerate[c]	m00913c
3-phospho-D-glycerate[m]	m00913m
3-phosphonooxypyruvate[c]	m00914c
3-phosphopolynucleotide[c]	m00915c
3-phosphoserine[c]	m00916c
3-succinoylpyridine[c]	m00917c
3-sulfinoalanine[c]	m00918c
3-sulfinoalanine[m]	m00918m
3-sulfinylpyruvic acid[c]	m00919c
3-sulfinylpyruvic acid[m]	m00919m
3-sulfopyruvate[c]	m00920c
3-sulfopyruvate[m]	m00920m
3-UMP[c]	m00921c
3-ureidoisobutyrate[c]	m00922c
3-ureidopropionate[c]	m00923c
4-(2-amino-3-hydroxyphenyl)-2,4-dioxobutanoate[c]	m00924c
4-(2-amino-3-hydroxyphenyl)-4-oxobutanoic acid-O-glucoside[c]	m00925c
4-(2-aminophenyl)-2,4-dioxobutanoate[c]	m00926c
4-(methylnitrosamino)-1-(1-oxido-3-pyridinyl)-1-butanone[c]	m00927c
4-(methylnitrosamino)-1-(3-pyridyl)-1-butanol glucuronide[c]	m00928c
4-(methylnitrosamino)-1-(3-pyridyl)-1-butanol[c]	m00929c
4-(methylnitrosamino)-1-(3-pyridyl-N-oxide)-1-butanol[c]	m00930c
4-(nitrosoamino)-1-(3-pyridinyl)-1-butanone[c]	m00931c
4-(n-nitrosomethylamino)-1-(3-pyridyl)-1-butanone[c]	m00932c
4-(n-nitrosomethylamino)-1-(3-pyridyl)-1-butanone[s]	m00932s
4(R),8-dimethyl-nonanoyl-CoA[c]	m00933c
4(R),8-dimethyl-nonanoyl-CoA[m]	m00933m
4(R),8-dimethyl-nonanoyl-CoA[p]	m00933p
4(R),8-dimethyl-trans-2-nonenoyl-CoA[m]	m00934m
4(R)-hydroxy-dodec-(6Z)-enoate[m]	m00935m
4(S)-hydroxy-dodec-(6Z)-enoate[m]	m00936m
4,4-dimethyl-14alpha-formyl-5alpha-cholesta-8,24-dien-3beta-ol[c]	m00937c
4,4-dimethyl-14alpha-formyl-5alpha-cholesta-8-en-3beta-ol[c]	m00938c
4,4-dimethyl-14alpha-hydroxymethyl-5alpha-cholesta-8,24-dien-3beta-ol[c]	m00939c
4,4-dimethyl-14alpha-hydroxymethyl-5alpha-cholesta-8-en-3beta-ol[c]	m00940c
4,4-dimethyl-5alpha-cholesta-8,14,24-trien-3beta-ol[c]	m00941c
4,4-dimethyl-5alpha-cholesta-8,14-dien-3-beta-ol[c]	m00942c
4,4-dimethyl-5alpha-cholesta-8-en-3-beta-ol[c]	m00943c
4,5-dihydro-4-hydroxy-5-S-glutathionyl-benzo[a]pyrene[c]	m00944c
4,6,7-trihydroxy-1,2,3,4-tetrahydroisoquinoline[c]	m00945c
4,6-dideoxy-4-oxo-dTDP-D-glucose[c]	m00946c
4,6-dihydroxyquinoline[c]	m00947c
4,8,12-trimethyltridecanoyl-CoA[p]	m00948p
4,8-dihydroxyquinoline[c]	m00949c
4,8-dimethylnonanoylcarnitine[c]	m00950c
4,8-dimethylnonanoylcarnitine[m]	m00950m
4-[(hydroxymethyl)nitrosoamino]-1-(3-pyridinyl)-1-butanone[c]	m00951c
4-acetamidobutanoate[c]	m00952c
4alpha-carboxy-4beta-methyl-5alpha-cholesta-8,24-dien-3beta-ol[c]	m00953c
4alpha-carboxy-4beta-methyl-5alpha-cholesta-8-en-3beta-ol[c]	m00954c
4alpha-carboxy-5alpha-cholesta-8,24-dien-3beta-ol[c]	m00955c
4alpha-carboxy-5alpha-cholesta-8-en-3beta-ol[c]	m00956c
4alpha-formyl-4beta-methyl-5alpha-cholesta-8,24-dien-3beta-ol[c]	m00957c
4alpha-formyl-4beta-methyl-5alpha-cholesta-8-en-3beta-ol[c]	m00958c
4alpha-formyl-5alpha-cholesta-8,24-dien-3beta-ol[c]	m00959c
4alpha-formyl-5alpha-cholesta-8-en-3beta-ol[c]	m00960c
4alpha-hydroxymethyl-4beta-methyl-5alpha-cholesta-8,24-dien-3beta-ol[c]	m00961c
4alpha-hydroxymethyl-4beta-methyl-5alpha-cholesta-8-en-3beta-ol[c]	m00962c
4alpha-hydroxymethyl-5alpha-cholesta-8,24-dien-3beta-ol[c]	m00963c
4alpha-hydroxymethyl-5alpha-cholesta-8-en-3beta-ol[c]	m00964c
4alpha-hydroxytetrahydrobiopterin[c]	m00965c
4alpha-hydroxytetrahydrobiopterin[n]	m00965n
4alpha-methyl-5alpha-cholesta-8-en-3-one[c]	m00966c
4alpha-methyl-cholesta-8-enol[c]	m00967c
4alpha-methylzymosterol[c]	m00968c
4-aminobutanal[c]	m00969c
4-aminobutanal[m]	m00969m
4-aminobutanal[s]	m00969s
4-aminobutyrate[c]	m00970c
4-aminobutyrate[l]	m00970l
4-aminobutyrate[m]	m00970m
4-aminobutyrate[s]	m00970s
4-androstene-3,17-dione[c]	m00971c
4-androstene-3,17-dione[r]	m00971r
4-bromo-3,5-cyclohexadiene-1,2-dione[c]	m00972c
4-bromocatechol[c]	m00973c
4-bromophenol[c]	m00974c
4-bromophenol-2,3-epoxide[c]	m00975c
4-cholesten-7alpha,12alpha,24(S)-triol-3-one[c]	m00976c
4-cholesten-7alpha,12alpha,27-triol-3-one[c]	m00977c
4-cholesten-7alpha,24(S)-diol-3-one[c]	m00978c
4-cholesten-7alpha,27-diol-3-one[c]	m00979c
4-cis-decenoyl-CoA[m]	m00980m
4-cis-decenoyl-CoA[p]	m00980p
4-coumarate[c]	m00981c
4-coumaroyl-CoA[c]	m00982c
4-hydroperoxy-2-nonenal[c]	m00983c
4-hydroperoxy-H4-neuroprostane[c]	m00984c
4-hydroxy-1-(3-pyridinyl)-1-butanone[c]	m00985c
4-hydroxy-17beta-estradiol[c]	m00986c
4-hydroxy-17beta-estradiol[l]	m00986l
4-hydroxy-17beta-estradiol[r]	m00986r
4-hydroxy-17beta-estradiol[s]	m00986s
4-hydroxy-17beta-estradiol-2-S-glutathione[c]	m00987c
4-hydroxy-17beta-estradiol-2-S-glutathione[m]	m00987m
4-hydroxy-17beta-estradiol-2-S-glutathione[p]	m00987p
4-hydroxy-17beta-estradiol-2-S-glutathione[r]	m00987r
4-hydroxy-2-nonenal[c]	m00988c
4-hydroxy-2-oxoglutarate[m]	m00989m
4-hydroxy-2-quinolinecarboxylic acid[c]	m00990c
4-hydroxy-3-nitrophenylacetate[c]	m00991c
4-hydroxy-4-(methylnitrosoamino)-1-(3-pyridinyl)-1-butanone[c]	m00992c
4-hydroxy-all-trans-retinoate[c]	m00993c
4-hydroxy-all-trans-retinoate[r]	m00993r
4-hydroxy-all-trans-retinyl-acetate[c]	m00994c
4-hydroxy-all-trans-retinyl-acetate[r]	m00994r
4-hydroxybenzoate[c]	m00995c
4-hydroxybenzoate[m]	m00995m
4-hydroxybenzoyl-CoA[c]	m00996c
4-hydroxy-D4-neuroprostane[c]	m00997c
4-hydroxy-debrisoquine[c]	m00998c
4-hydroxy-debrisoquine[s]	m00998s
4-hydroxy-E4-neuroprostane[c]	m00999c
4-hydroxyestrone[c]	m01000c
4-hydroxyestrone[l]	m01000l
4-hydroxyestrone[r]	m01000r
4-hydroxyestrone-2-S-glutathione[c]	m01001c
4-hydroxyestrone-2-S-glutathione[m]	m01001m
4-hydroxyestrone-2-S-glutathione[p]	m01001p
4-hydroxyestrone-2-S-glutathione[r]	m01001r
4-hydroxyphenylacetaldehyde[c]	m01002c
4-hydroxyphenylacetate[c]	m01003c
4-hydroxyphenylacetate[s]	m01003s
4-hydroxyphenyllactate[c]	m01004c
4-hydroxyphenylpyruvate[c]	m01005c
4-hydroxyphenylpyruvate[m]	m01005m
4-hydroxyretinoic acid[c]	m01006c
4-hydroxyretinoic acid[s]	m01006s
4-hydroxy-tolbutamide[c]	m01007c
4-hydroxy-tolbutamide[s]	m01007s
4-hydroxyvitamin A1[c]	m01008c
4-hydroxyvitamin A1[r]	m01008r
4-imidazolone-5-propanoate[c]	m01009c
4-maleylacetoacetate[c]	m01010c
4-methoxy-17beta-estradiol[c]	m01011c
4-methoxyestrone[c]	m01012c
4-methyl-2-oxopentanoate[c]	m01013c
4-methyl-2-oxopentanoate[m]	m01013m
4-methylpentan-1-ol[c]	m01014c
4-methyl-pentanoyl-CoA[m]	m01015m
4-methylthio-2-oxobutanoic acid[c]	m01016c
4-methyl-trans-2-pentenoyl-CoA[m]	m01017m
4-N-(n-acetyl-D-glucosaminyl)-protein[c]	m01018c
4-nitrocatechol[c]	m01019c
4-nitrocatechol[s]	m01019s
4-nitrophenyl-phosphate[s]	m01020s
4-nitrophenyl-sulfate[c]	m01021c
4-nitrophenyl-sulfate[s]	m01021s
4-OH-13-cis-retinal[c]	m01022c
4-OH-13-cis-retinal[r]	m01022r
4-OH-9-cis-retinal[c]	m01023c
4-OH-9-cis-retinal[r]	m01023r
4-OH-retinal[c]	m01024c
4-OH-retinal[r]	m01024r
4-oxo-1-(3-pyridyl)-1-butanone[c]	m01025c
4-oxo-13-cis-retinoate[c]	m01026c
4-oxo-13-cis-retinoate[r]	m01026r
4-oxo-2-nonenal[c]	m01027c
4-oxo-9-cis-retinal[c]	m01028c
4-oxo-9-cis-retinal[r]	m01028r
4-oxo-9-cis-retinoate[c]	m01029c
4-oxo-9-cis-retinoate[r]	m01029r
4-oxo-9-cis-retinoyl-beta-glucuronide[c]	m01030c
4-oxo-9-cis-retinoyl-beta-glucuronide[r]	m01030r
4-oxo-all-trans-retinoate[c]	m01031c
4-oxo-all-trans-retinoate[r]	m01031r
4-oxoretinol[c]	m01032c
4-pyridoxate[c]	m01033c
4-pyridoxate[s]	m01033s
4-trimethylammoniobutanal[c]	m01034c
5-(3-pyridyl)-2-hydroxytetrahydrofuran[c]	m01035c
5-(D-galactosyloxy)-L-lysine-procollagen[c]	m01036c
5(S),12(R)-dihydroxy-eicosa-2,8-trans-6,14-cis-tetraenoyl-CoA[m]	m01037m
5(S),12(R)-dihydroxy-eicosa-2,8-trans-6,14-cis-tetraenoyl-CoA[p]	m01037p
5(S),6(S)-epoxy-15(R)-HEPE[c]	m01038c
5(S),6(S)-epoxy-15(R)-HEPE[n]	m01038n
5(S),6(S)-epoxy-15(R)-HEPE[p]	m01038p
5(S),6(S)-epoxy-15(R)-HEPE[r]	m01038r
5(S)-HEPE[c]	m01039c
5(S)-HEPE[p]	m01039p
5(S)-HETE[c]	m01040c
5(S)-HETE[m]	m01040m
5(S)-HETE[r]	m01040r
5(S)-HpEPE[c]	m01041c
5(S)-HpEPE[n]	m01041n
5(S)-HPETE[c]	m01042c
5(S)-HPETE[m]	m01042m
5-(S-L-cysteinyl)-dopaquinone[c]	m01043c
